2020-01-31 21:29:25 INFO  cn.com.alasky.StartApp 24 main - 启动应用
2020-01-31 21:29:26 INFO  org.springframework.boot.StartupInfoLogger 50 logStarting - Starting StartApp on spartan-PC with PID 22190 (/home/spartan/codes/associationplatform/target/classes started by spartan in /home/spartan/codes/associationplatform)
2020-01-31 21:29:26 INFO  org.springframework.boot.SpringApplication 675 logStartupProfileInfo - No active profile set, falling back to default profiles: default
2020-01-31 21:29:28 INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer 90 initialize - Tomcat initialized with port(s): 8080 (http)
2020-01-31 21:29:28 INFO  org.apache.juli.logging.DirectJDKLog 173 log - Initializing ProtocolHandler ["http-nio-8080"]
2020-01-31 21:29:28 INFO  org.apache.juli.logging.DirectJDKLog 173 log - Starting service [Tomcat]
2020-01-31 21:29:28 INFO  org.apache.juli.logging.DirectJDKLog 173 log - Starting Servlet engine: [Apache Tomcat/9.0.16]
2020-01-31 21:29:28 INFO  org.apache.juli.logging.DirectJDKLog 173 log - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [/usr/java/packages/lib/amd64:/usr/lib64:/lib64:/lib:/usr/lib]
2020-01-31 21:29:29 INFO  org.apache.juli.logging.DirectJDKLog 173 log - At least one JAR was scanned for TLDs yet contained no TLDs. Enable debug logging for this logger for a complete list of JARs that were scanned but no TLDs were found in them. Skipping unneeded JARs during scanning can improve startup time and JSP compilation time.
2020-01-31 21:29:29 INFO  org.apache.juli.logging.DirectJDKLog 173 log - Initializing Spring embedded WebApplicationContext
2020-01-31 21:29:29 INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext 296 prepareWebApplicationContext - Root WebApplicationContext: initialization completed in 2969 ms
2020-01-31 21:29:29 INFO  org.springframework.scheduling.concurrent.ExecutorConfigurationSupport 171 initialize - Initializing ExecutorService 'applicationTaskExecutor'
2020-01-31 21:29:29 INFO  org.apache.juli.logging.DirectJDKLog 173 log - Starting ProtocolHandler ["http-nio-8080"]
2020-01-31 21:29:29 INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer 204 start - Tomcat started on port(s): 8080 (http) with context path ''
2020-01-31 21:29:29 INFO  org.springframework.boot.StartupInfoLogger 59 logStarted - Started StartApp in 4.448 seconds (JVM running for 7.128)
2020-01-31 21:30:23 INFO  org.apache.juli.logging.DirectJDKLog 173 log - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-01-31 21:30:23 INFO  org.springframework.web.servlet.FrameworkServlet 524 initServletBean - Initializing Servlet 'dispatcherServlet'
2020-01-31 21:30:23 INFO  org.springframework.web.servlet.FrameworkServlet 546 initServletBean - Completed initialization in 6 ms
2020-01-31 21:30:23 INFO  cn.com.alasky.controller.LoginController 36 getRegisterInfo - 新的注册: testName2 120119
2020-01-31 21:30:23 INFO  com.zaxxer.hikari.HikariDataSource 110 getConnection - HikariPool-1 - Starting...
2020-01-31 21:30:24 INFO  com.zaxxer.hikari.HikariDataSource 123 getConnection - HikariPool-1 - Start completed.
2020-01-31 21:31:18 INFO  cn.com.alasky.controller.LoginController 36 getRegisterInfo - 新的注册: 1 120119
2020-01-31 21:31:37 INFO  cn.com.alasky.controller.LoginController 36 getRegisterInfo - 新的注册: 1 1201192
2020-01-31 21:33:14 INFO  cn.com.alasky.controller.LoginController 36 getRegisterInfo - 新的注册: testName2 120119
2020-01-31 21:39:33 INFO  org.springframework.scheduling.concurrent.ExecutorConfigurationSupport 208 shutdown - Shutting down ExecutorService 'applicationTaskExecutor'
2020-01-31 21:39:33 INFO  com.zaxxer.hikari.HikariDataSource 350 close - HikariPool-1 - Shutdown initiated...
2020-01-31 21:39:33 INFO  com.zaxxer.hikari.HikariDataSource 352 close - HikariPool-1 - Shutdown completed.
